,W,L,T,PCT,HOME,AWAY,DIV,CONF,PF,PA,DIFF,STRK
KCKansas City Chiefs,14,2,0,.875,6-2,8-0,4-2,10-2,473,362,+111,L1
GBGreen Bay Packers,13,3,0,.813,7-1,6-2,5-1,10-2,509,369,+140,W6
BUFBuffalo Bills,13,3,0,.813,7-1,6-2,6-0,10-2,501,375,+126,W6
NONew Orleans Saints,12,4,0,.750,6-2,6-2,6-0,10-2,482,337,+145,W2
PITPittsburgh Steelers,12,4,0,.750,7-1,5-3,4-2,9-3,416,312,+104,L1
SEASeattle Seahawks,12,4,0,.750,7-1,5-3,4-2,9-3,459,371,+88,W4
TENTennessee Titans,11,5,0,.688,5-3,6-2,5-1,8-4,491,439,+52,W1
TBTampa Bay Buccaneers,11,5,0,.688,5-3,6-2,4-2,8-4,492,355,+137,W4
BALBaltimore Ravens,11,5,0,.688,5-3,6-2,4-2,7-5,468,303,+165,W5
CLECleveland Browns,11,5,0,.688,6-2,5-3,3-3,7-5,408,419,-11,W1
INDIndianapolis Colts,11,5,0,.688,6-2,5-3,4-2,7-5,451,362,+89,W1
LARLos Angeles Rams,10,6,0,.625,6-2,4-4,3-3,9-3,372,296,+76,W1
MIAMiami Dolphins,10,6,0,.625,5-3,5-3,3-3,7-5,404,338,+66,L1
CHIChicago Bears,8,8,0,.500,3-5,5-3,2-4,6-6,372,370,+2,L1
ARIArizona Cardinals,8,8,0,.500,4-4,4-4,2-4,6-6,410,367,+43,L2
LVLas Vegas Raiders,8,8,0,.500,2-6,6-2,4-2,6-6,434,478,-44,W1
WSHWashington,7,9,0,.438,3-5,4-4,4-2,5-7,335,329,+6,W1
MINMinnesota Vikings,7,9,0,.438,3-5,4-4,4-2,5-7,430,475,-45,W1
NENew England Patriots,7,9,0,.438,5-3,2-6,3-3,6-6,326,353,-27,W1
LACLos Angeles Chargers,7,9,0,.438,4-4,3-5,3-3,6-6,384,426,-42,W4
SFSan Francisco 49ers,6,10,0,.375,1-7,5-3,3-3,4-8,376,390,-14,L1
NYGNew York Giants,6,10,0,.375,3-5,3-5,4-2,5-7,280,357,-77,W1
DALDallas Cowboys,6,10,0,.375,4-4,2-6,2-4,5-7,395,473,-78,L1
DENDenver Broncos,5,11,0,.313,2-6,3-5,1-5,4-8,323,446,-123,L3
CARCarolina Panthers,5,11,0,.313,2-6,3-5,1-5,4-8,350,402,-52,L1
DETDetroit Lions,5,11,0,.313,1-7,4-4,1-5,4-8,377,519,-142,L4
CINCincinnati Bengals,4,11,1,.281,3-5,1-6-1,1-5,4-8,311,424,-113,L1
PHIPhiladelphia Eagles,4,11,1,.281,3-4-1,1-7,2-4,4-8,334,418,-84,L3
HOUHouston Texans,4,12,0,.250,2-6,2-6,2-4,3-9,384,464,-80,L5
ATLAtlanta Falcons,4,12,0,.250,2-6,2-6,1-5,2-10,396,414,-18,L5
NYJNew York Jets,2,14,0,.125,1-7,1-7,0-6,1-11,243,457,-214,L1
JAXJacksonville Jaguars,1,15,0,.063,1-7,0-8,1-5,1-11,306,492,-186,L15
